No,Perusahaan,Alamat,KBLI
2710.,PR Agus Erik Hermawan,"Lingkungan Radio Permain Rt.14,Rw.05,, Jatiwangi, Asakota, Kota Bima, Nusa Tenggara Barat Telp. 085*********",
2711.,PR Agus Erwin,"Tepian Batang RT 06, Tepian Batang, Tanah Grogot, Kabupaten Paser, Kalimantan Timur Telp. 085*********",10710
2712.,PR Agus Faesal Tanjung,"DUSUN RANGSOT BARAT, Sigar Penjalin, Tanjung, Kabupaten Lombok Utara, Nusa Tenggara Barat Telp. 087*********",
2713.,PR Agus Fahlevie,"Desa Donowangun, Donowangun, Talun, Kabupaten Pekalongan, Jawa Tengah Telp. 081*********",10763
2714.,PR Agus Faisal,"jl.Raya Ngabang-Pontianak km.3, Amboyo Inti, Ngabang, Kabupaten Landak, Kalimantan Barat Telp. 081*********",13921
2715.,PR Agus Fatony,Telp.,
2716.,PR Agus Ferial,Telp.,
2717.,PR Agus Firanda,Telp.,
2718.,PR Agus Fitriyadi,"Jalan Ulin, Desa/Kelurahan Karang Asam Ilir, Kec. Sungai Kunjang, Kota Samarinda, Provinsi Kalimantan Timur Kode Pos: 75126, Karang Asam Ilir, Sungai Kunjang, Kota Samarinda, Kalimantan Timur Telp. 628**********",10794
2719.,PR Agus Fitriyanto,Telp.,
2720.,PR Agus Gilbranto,"JL.PERCETAKAN NEGARA V NO.B - 174 RT 10 RW 01, Rawasari, Cempaka Putih, Kota Jakarta Pusat, DKI Jakarta Telp. 085*********",10779
2681.,PR Agus Arum Art,Telp.,
2682.,PR Agus Aryanto,Telp.,
2683.,PR Agus Asy Ari,"Dusun Jurgang, Pakandangan Tengah, Bluto, Kabupaten Sumenep, Jawa Timur Telp. 085*********",12011
2684.,PR Agus Badrus Al Munir,"RT 002 RW 002, Songgom Lor, Songgom, Kabupaten Brebes, Jawa Tengah Telp. +6282322626869",45201
2685.,PR Agus Basuki,Telp.,
2686.,PR Agus Bayu,"Jalan Perumahan Bukit Bilabong Jaya Blok A 1, Bilabong Jaya, Langkapura, Kota Bandar Lampung, Lampung Telp. 082*********",16291
2687.,PR Agus Budi Kusuma,"Jalan Raya Telukan Cuplik KM 7, Jomblang RT 02 RW 09, Desa/Kelurahan Dukuh, Kec. Sukoharjo, Kab. Sukoharjo, Provinsi Jawa Tengah,KodePos:57524, Dukuh, Sukoharjo, Kabupaten Sukoharjo, Jawa Tengah Telp. 087*********",31001
2688.,PR Agus Budi Utomo,Telp.,
2689.,PR Agus Budi Wibowo,"Desa Kalipucang Wetan Rt.03 Rw.03 Kecamatan Welahan Kabupaten Jepara Provinsi Jawa Tengah, Kalipucang Wetan, Welahan, Kabupaten Jepara, Jawa Tengah Telp. 089*********",12011
2690.,PR Agus Budi Wijaya,"Jln. Imam Bonjol 44, Mangunharjo, Mayangan, Kota Probolinggo, Jawa Timur Telp. 081*********",
2691.,PR Agus Budiono,Telp.,
2692.,PR Agus Budiyanta,"Sarangan RT 02 RW 03 Gesing Kandangan temanggung, Gesing, Kandangan, Kabupaten Temanggung, Jawa Tengah Telp. 089**********",10794
2693.,PR Agus Budiyono,Telp.,
2694.,PR Agus Bule,"Kp ciboleger barat Rt 03/01, Bojongmenteng, Leuwidamar, Kabupaten Lebak, Banten Telp. 081*********",10722
2695.,PR Agus Buniati,"Dusun Taman Rejo, Bernung, Gedong Tataan, Kabupaten Pesawaran, Lampung Telp. 081*********",10794
2696.,PR Agus Cahyadi,Telp.,
2697.,PR Agus Chandra Ushar,"JORONG TARATAK, Desa/Kelurahan Siguntur, Kec. Sitiung, Kab. Dharmasraya, Provinsi Sumatera Barat, Siguntur, Sitiung, Kabupaten Dharmas Raya, Sumatera Barat Telp. 085*********",10710
2698.,PR Agus Darmadi,Telp.,16101
2699.,PR Agus Dipo Supriyono,Telp.,
2700.,PR Agus Djony,Telp.,
2661.,PT Agunglestari Indahsukses,"Dusin V-A Kadir, Tandam Hulu Dua, Tandem Hulu, Hamparan Perak, Kabupaten Deli Serdang, Sumatera Utara Telp. 085*********",16213
2662.,PR Agungnuri Wijaya Drs,Telp.,
2663.,PT Agungputra Jaya,"Kp. Curug Dengdeng, Lulut, Klapanunggal, Kabupaten Bogor, Jawa Barat Telp. 081*********",23959
2664.,PT Agungsejahtera Sidoraharjatex,"Jl. Raya Solo-Sragen Km 7.8, Jetis, Jaten, Kabupaten Karanganyar, Jawa Tengah Telp. 0271 821800",13112
2665.,PT Agungsurya Langgengmakmur,"Jl. Raya Pos Sentul Jaya Kp. Tobat RT 06/03, Sentul Jaya, Balaraja, Kabupaten Tangerang, Banten Telp. 021-59451397-99",25112
2666.,PR Agus,"Dusun Tammerodo, Tammerodo Utara, Tammerodo Sendana, Kabupaten Majene, Sulawesi Barat Telp. 081*********",16293
2667.,PR Agus,"KP. CIKOPENG, Kidangpananjung, Cililin, Kabupaten Bandung Barat, Jawa Barat Telp. 083*********",10792
2668.,PR Agus,"LAGUMBANG, Bulu Tempe, Tanete Riattang Barat, Kabupaten Bone, Sulawesi Selatan Telp. 628**********",10772
2669.,PR Agus,"Jln. Sosial Lrg. Bersama No. 631 RT. 014 RW. 002, Suka Bangun, Sukarami, Kota Palembang, Sumatera Selatan Telp. 085*********",10794
2670.,PR Agus,"PATTALASSAN, Tubo Selatan, Tubo Sendana, Kabupaten Majene, Sulawesi Barat Telp. 082*********",10423
2671.,PR Agus,"DSN. TUARA, Malimbu, Sabbang, Kabupaten Luwu Utara, Sulawesi Selatan Telp. 082*********",10722
2672.,PR Agus Adrian,"Jalan Malaka RT02 RW07 No. 50, Munjul, Cipayung, Kota Jakarta Timur, DKI Jakarta Telp. 081*********",
2673.,PR Agus Adrian Mulyono,"Perumahan bangun graha sedayu No.B-32 Gg.2 RT.73 perengwetan, Desa/Kelurahan Argorejo, Kec. Sedayu, Kab. Bantul, Argorejo, Sedayu, Kabupaten Bantul, DI Yogyakarta Telp. 085********",11090
2674.,PR Agus Alwi,Telp.,
2675.,PR Agus Amatin,"Kp. Cimuta, Cigadog, Leuwisari, Kabupaten Tasikmalaya, Jawa Barat Telp. 082*********",16291
2676.,PR Agus Antony,"Jl DI Panjaitan Selatan No.7 RT 51/005, Ketapang, Mentawa Baru
Ketapang, Kabupaten Kotawaringin Timur, Kalimantan Tengah Telp. 089********",10216
2677.,PR Agus Apriansyah,"Jalan Sabanar Lama, GG. Mengkudu, Tanjung Selor Hilir, Tanjung Selor, Kabupaten Bulungan, Kalimantan Utara Telp. 081*********",10750
2678.,PR Agus Ariadi,"Desa Tambak Sarinah, Tambak Sarinah, Kurau, Kabupaten Tanah Laut, Kalimantan Selatan Telp. 082*********",33119
2679.,PR Agus Arifin,Telp.,
2680.,PD Agus Ariyanto,"Jl. P. Antasari RT. 19 No. 26, Pamusian, Tarakan Tengah, Kota Tarakan, Kalimantan Utara Telp. 085**********************",10710
2641.,CV Agung Sejahtera,"Dusun Barek Rt/003/Rw 002, Ngadiluhur, Balen, Kabupaten Bojonegoro, Jawa Timur Telp. 081*********",23957
2642.,PT Agung Sejahtera Plastik,"Mastrip 47c, Kedurus, Karang Pilang, Kota Surabaya, Jawa Timur Telp. 0317662562",22299
2643.,PT Agung Sejati Nusantara,"Jl. Kenari blok G1 no. 25B, Cicau, Cikarang Pusat, Kabupaten Bekasi, Jawa Barat Telp. 081*********",
2644.,PT Agung Semesta Nusantara,"Br. Pengeregan Kelod, Lumbung, Selemadeg Barat, Kabupaten Tabanan, Bali Telp. 081*********",11020
2645.,PR Agung Setia,"MAMBO, Mambo, Poleang Timur, Kabupaten Bombana, Sulawesi Tenggara Telp. 082*********",10794
2646.,PR Agung Setiawan,"Kiringan RT 03 RW 02 tidar Utara Magelang Selatan, Tidar Utara, Magelang Selatan, Kota Magelang, Jawa Tengah Telp. 085*********",10794
2647.,PR Agung Setyono,"Jalan Cungkuk 169A RT006, Desa/Kelurahan Ngestiharjo, Kec. Kasihan, Kab. Bantul, Provinsi Daerah Istimewa Yogyakarta Kode Pos: 55253, Ngestiharjo, Kasihan, Kabupaten Bantul, DI Yogyakarta Telp. 628**********",10772
2648.,PR Agung Sigit Purnomo,Telp.,
2649.,PR Agung Sri Makmur,Telp.,
2650.,PT Agung Sukses Abadi,"Jl Romokalisari Industri 2/8, Romokalisari, Benowo, Kota Surabaya, Jawa Timur Telp. 0313987790",24101
2651.,PT Agung Sukses Jaya,"Jalan Swadaya RT 002/RW 01 Kp. Buaran, Lambangsari, Tambun Selatan, Kabupaten Bekasi, Jawa Barat Telp. 02182654685",25999
2652.,PR Agung Sulistio,"Jl Darusalam Gg Mangga No 8  Rt 003 Rw 005 Bukit Cermin, Bukit Cermin, Tanjung Pinang Barat, Kota Tanjung Pinang, Kepulauan Riau Telp. 082*********",10794
2653.,PT Agung Tiga Mas,Telp.,
2654.,PR Agung Tri,"Desa Bulila, Bulila, Telaga, Kabupaten Gorontalo, Gorontalo Telp. 081*********",20121
2655.,PR Agung Tri Prabowo,"JL DIPONEGORO GG XIII RT 01 RW 02, Sisir, Batu, Kota Batu, Jawa Timur Telp. 081*********",10794
2656.,PR Agung Tri Widodo,"Pinggirejo RT 06 RW 07, Wates, Magelang Utara, Kota Magelang, Jawa Tengah Telp. 082*********",10792
2657.,PR Agung Widodo,"Jl. Nurul Hidayah No.15, Kelapa Dua Wetan, Ciracas, Kota Jakarta Timur, DKI Jakarta Telp. 087*********",
2658.,PR Agung Wiharta,"Jalan Pramuka No. 31 Dusun Code, Padukuhan Sragan RT 001, Trirenggo, Bantul, Kabupaten Bantul, DI Yogyakarta Telp. 085*********",32202
2659.,PT Agung Winyawan Santosa Tekstil,"Jl. Raya Solo-Sragen Km 9.1, Sroyo, Jaten, Kabupaten Karanganyar, Jawa Tengah Telp. 0271 821800",13121
2660.,PR Agung Yunianto,"Jln Ki Ageng Giring, Kepek, Wonosari, Kabupaten Gunung Kidul, DI Yogyakarta Telp. 087***********",
2621.,PR Agung Prabowo,"Trembono, Tegalrejo, Gedangsari, Kabupaten Gunung Kidul, DI Yogyakarta Telp. 085*********",13134
2622.,PR Agung Praja Pratama,"Jalan Depati Barin Sri Menanti, Sri Menanti, Sungailiat, Kabupaten Bangka, Kepulauan Bangka Belitung Telp. 085*********",10423
2623.,PT Agung Prakarsa Metalindo,"Komplek Perumahan Permata Rendah Blok A.1 No.2 Desa Pegadungan Kec Kalideres, Pegadungan, Kalideres, Kota Jakarta Barat, DKI Jakarta Telp. 02154334789",25952
2624.,PR Agung Pramono,"Ngemplak Suren RT.09 RW.04, Karangduren, Sawit, Kabupaten Boyolali, Jawa Tengah Telp. 081*********",10631
2625.,PR Agung Prasetyo,"BANDUNG KULON RT.30, NO.45, PENDOWOHARJO, SEWON, BANTUL, YOGYAKARTA, Pendowoharjo, Sewon, Kabupaten Bantul, DI Yogyakarta Telp. +6282242017555",
2626.,PR Agung Prasetyo Utami,"RT.001 RW.001, Desa/Kelurahan Bodeh, Kec. Bodeh, Kab. Pemalang, Provinsi Jawa Tengah Kode Pos: 52365, Bodeh, Bodeh, Kabupaten Pemalang, Jawa Tengah Telp. 087*********",10792
2627.,PR Agung Pratama Putra,"LINGK. VI BAMBUAN, Perdamaian, Stabat, Kabupaten Langkat, Sumatera Utara Telp. 00",23952
2628.,PR Agung Prayuda,"jl raya parakan km 10 no 999, Butuh, Kalikajar, Kabupaten Wonosobo, Jawa Tengah Telp. 081*******",12011
2629.,CV Agung Prima,"Jl. Toyogiri Selatan no. 42, Kampung Jati RT 005/003, Jatimulya, Tambun Selatan, Kabupaten Bekasi, Jawa Barat Telp. 021 8834 0221",19212
2630.,CV Agung Prima Resto,Telp.,
2631.,PR Agung Priyono,"Jagoan 2 no.295 RT 8 RW 8 jurangombo Utara, Jurangombo  Utara, Magelang Selatan, Kota Magelang, Jawa Tengah Telp. 085*********",10792
2632.,CV Agung Putra Nusantara,"Dusun simorejo, Kesambi, Porong, Kabupaten Sidoarjo, Jawa Timur Telp. 082*********",12013
2633.,PR Agung Putro Wijoyo,"JL. STADION SELATAN NO. 15, Batu Galing, Curup Tengah, Kabupaten Rejang Lebong, Bengkulu Telp. -",10794
2634.,CV Agung Ramadhan,"Cimanggu permai Jl. Demak B1 No 7 Bogor, RT.01/RW.09, Kedungbadak, Kec. Tanah Sereal, Kota Bogor, Jawa Barat 16164, Kedung Badak, Tanah Sareal, Kota Bogor, Jawa Barat Telp. 082*********",14111
2635.,PR Agung Raya Furniture,Telp.,
2636.,CV Agung Raya Morowali,"JL.TRANS SULAWESI, Keurea, Bahodopi, Kabupaten Morowali, Sulawesi Tengah Telp. 081*********",11051
2637.,PR Agung Riyawan,"TAMBAKREJO, Tambakrejo, Purworejo, Kabupaten Purworejo, Jawa Tengah Telp. 081*********",10750
2638.,PR Agung Sahrudin,Telp.,
2639.,PR Agung Saputra,Telp.,
2640.,PR Agung Sedayu,"Jl. Jatinegara Kaum No.99 RT10 RW03, Jatinegara Kaum, Pulogadung, Kota Jakarta Timur, DKI Jakarta Telp. 081********",
3001.,PR Agustina Mardiana Anggorowati,"Kebayen RT 001 RW 004 Desa Mojotengah Kedu Temanggung, Mojotengah, Kedu, Kabupaten Temanggung, Jawa Tengah Telp. 085*********",12011
3002.,PR Agustina Mita,Telp.,
3003.,PR Agustina Natalia,"Tebet Barat Rt.015 Rw.001, Tebet Barat, Tebet, Kota Jakarta Selatan, DKI Jakarta Telp. 088********",10793
3004.,PR Agustina Neilla Putri,"Karang 005/003, Tuksono, Sentolo, Kulon Progo, Tuksono, Sentolo, Kabupaten Kulon Progo, DI Yogyakarta Telp. 089*********",13924
3005.,PR Agustina Pattianakotta,"Wainitu, Wainitu, Nusaniwe, Kota Ambon, Maluku Telp. 085*********",13921
3006.,PR Agustina Ragawantipasaribu,Telp.,
3007.,PR Agustina Rangotwat,"Ohoi Ohoiren, Langgur, Kei Kecil, Kabupaten Maluku Tenggara, Maluku Telp. 0",16291
3008.,PR Agustina Rante Manik,"Jl. Jend. Sudirman RT.002, Nunukan Utara, Nunukan, Kabupaten Nunukan, Kalimantan Utara Telp. 081*********",10710
3009.,PR Agustina Rante Manik,"JL. Bhayangkara RT. 011 No. 23, Nunukan Tengah, Nunukan, Kabupaten Nunukan, Kalimantan Utara Telp. 081*********",10750
3010.,PR Agustina Rattealo,"TONGLO, Tonglo, Rantetayo, Kabupaten Tana Toraja, Sulawesi Selatan Telp. 085*********",13121
3011.,PR Agustina Ratu,"Jln Dharmaloka / Gang Atambua No 2B, Pasir Panjang, Kota Lama, Kota Kupang, Nusa Tenggara Timur Telp. 081********",20231
3012., Agustina Rita Rosita Rengen,Telp.,
3013.,PR Agustina Rita Rosita Rengen,"Jalan Guna Baru, Sabalo, Bengkayang, Kabupaten Bengkayang, Kalimantan Barat Telp. 089*********",
3014.,PR Agustina S,"JL DR. SUTOMO, Tobuuha, Puuwatu, Kota Kendari, Sulawesi Tenggara Telp. 085*********",10710
3015.,PR Agustina Sahetapy,"Porto, Porto, Saparua, Kabupaten Maluku Tengah, Maluku Telp. 0000000000",10794
3016.,PR Agustina Singga,"LINGK. PADAT KARYA Kab. Buton Tengah, Provinsi Sulawesi Tenggara, Watolo, Mawasangka, Kabupaten Buton Tengah, Sulawesi Tenggara Telp. +6282187927237",13121
3017.,PR Agustina Sonda,Telp.,
3018.,PR Agustina Suharyanti,"JL. SINAR KENCANA I/958 C, Kedungmundu, Tembalang, Kota Semarang, Jawa Tengah Telp. 085*********",
3019.,PR Agustina Suri Darmawanti,Telp.,
3020.,PR Agustina Suryandari Budijanto ST,"Jl. Benda Langgar 24A, Cilandak Timur, Pasar Minggu, Kota Jakarta Selatan, DKI Jakarta Telp. 081*********",
2981.,PR Agustina,"Desa Koto Dian, Koto Dian, Hamparan Rawang, Kota Sungai Penuh, Jambi Telp. 082*********",16292
2982.,PR Agustina Agustin Supriatin,"JL. CEMPAKA, Desa/Kelurahan Udapi Hilir, Kec. Prafi, Kab. Manokwari, Provinsi Papua Barat, Udapi Hilir, Prafi, Kabupaten Manokwari, Papua Barat Telp. 82238172016",10794
2983.,PR Agustina Antomina Simbiak,"jl. bosnik raya, kampung manswam, Desa/Kelurahan Manswam, Kec. Biak Kota, Kab. Biak Numfor, Provinsi Papua Kode Pos: 98115, Manswam, Biak Kota, Kabupaten Biak Numfor, Papua Telp. +6281343186415",10212
2984.,PR Agustina Apanath,"Allang Asaude, Allang Asaude, Huamual Belakang, Kabupaten Seram Bagian Barat, Maluku Telp. 0",10750
2985.,PR Agustina Damayanti,"Balun RT 002 RW 002, Tanjungmojo, Kangkung, Kabupaten Kendal, Jawa Tengah Telp. 083*********",10710
2986.,PR Agustina Delima Sari,"Perumahan Taman Dramaga permai 6, Blok D13 No. 1, Cihideungudik, Ciampea, Kabupaten Bogor, Jawa Barat Telp. 087*********",21022
2987.,PR Agustina Dj. Tooli,Telp.,
2988.,PR Agustina Dullah,"Jalan Jenderal Sudirman No 24, Lawir, Langke Rembong, Kabupaten Manggarai, Nusa Tenggara Timur Telp. 081*********",10794
2989.,PR Agustina Endriani,"Jl. Bandarmasih Komp DPR gg. 2 Rt/Rw 034/003 no.40, Belitung Selatan, Banjarmasin  Barat, Kota Banjarmasin, Kalimantan Selatan Telp. 085*********",10710
2990.,PR Agustina Erni Nurcahyani.se.,"Jl. Bumiarjo 7/11, Sawunggaling, Wonokromo, Kota Surabaya, Jawa Timur Telp. 081*********",11090
2991.,PR Agustina Fitriyani,Telp.,
2992.,PR Agustina Gunarti Rahayu,Telp.,
2993.,PR Agustina Herlina Luhukay,"JL DR J LEIMENA, Hative Besar, Teluk Ambon, Kota Ambon, Maluku Telp. 085*********",10794
2994.,PR Agustina Imran,"Jl. Pasundan No. 04 RT. 18, Jawa, Samarinda  Ulu, Kota Samarinda, Kalimantan Timur Telp. 085*********",10710
2995.,PR Agustina Kareni,"Jln. Serayu, Sanggeng, Manokwari Barat, Kabupaten Manokwari, Papua Barat Telp. -",16292
2996.,PR Agustina Kurniari Kusuma,"Kedulan No. 16 RT 001 RW 029, Tirtomartani, Kalasan, Kabupaten Sleman, DI Yogyakarta Telp. 081*********",10590
2997.,PR Agustina Leonarda Katharina Hamboer,"Jln. Katedral No. 11, Bangka Nekang, Langke Rembong, Kabupaten Manggarai, Nusa Tenggara Timur Telp. 081*********",10710
2998.,PR Agustina Loupatty,"Tuhaha, Tuhaha, Saparua Timur, Kabupaten Maluku Tengah, Maluku Telp. 082*********",10710
2999.,PR Agustina Malihute,"Nukuhai, Nukuhai, Taniwel, Kabupaten Seram Bagian Barat, Maluku Telp. 081*********",10212
3000.,PR Agustina Mambraku,Telp.,
2961.,PR Agustina,"JL. GURU MUHTAR RT.17, Jelutung, Jelutung, Kota Jambi, Jambi Telp. 085*********",10710
2962.,PR Agustina,"Dusun Binanga Benteng, Binanga Sambaiya, Bontosikuyu, Kabupaten Kepulauan Selayar, Sulawesi Selatan Telp. 085*********",10710
2963., Agustina,Telp.,
2964.,PR Agustina,"JL RE MARTADINATA, Opas Indah, Taman Sari, Kota Pangkal Pinang, Kepulauan Bangka Belitung Telp. 087*********",10216
2965.,PR Agustina,"Ujong Nga, Ujong Nga, Samatiga, Kabupaten Aceh Barat, Nangroe Aceh Darussalam Telp. 082*********",10710
2966.,PR Agustina,"JL. DAMAI TOBOALI, Toboali, Toboali, Kabupaten Bangka Selatan, Kepulauan Bangka Belitung Telp. 087*********",10295
2967.,PR Agustina,"LINGKUNGAN NELAYAN II, Desa/Kelurahan Sungailiat, Kec. Sungailiat, Kab. Bangka, Provinsi Kepulauan Bangka Belitung, Sungailiat, Sungailiat, Kabupaten Bangka, Kepulauan Bangka Belitung Telp. 089**********",10792
2968.,PR Agustina,"jalan Bakran Usman	RT/RW.002/001, Bumi Emas, Bengkayang, Kabupaten Bengkayang, Kalimantan Barat Telp. 085*********",
2969.,PR Agustina,"KUBANG SIRAKUK SELATAN, Kubang S. Selatan, Lembah Segar, Kota Sawah Lunto, Sumatera Barat Telp. 081*********",10794
2970.,PR Agustina,"Jalan kebun bunga komplek pondok bunga blok c no.2117, Kebun Bunga, Sukarami, Kota Palembang, Sumatera Selatan Telp. 081*********",10216
2971.,PR Agustina,Telp.,
2972.,PR Agustina,"BTN Kendari Permai Blok K1 No 8, Padaleu, Kambu, Kota Kendari, Sulawesi Tenggara Telp. 082*********",10793
2973.,PR Agustina,"seberan rt 003/008 girilayu matesih, Girilayu, Matesih, Kabupaten Karanganyar, Jawa Tengah Telp. 083*********",13134
2974.,PR Agustina,Telp.,
2975.,PR Agustina,"Dusun Rukun, Bundar, Karang Baru, Kabupaten Aceh Tamiang, Nangroe Aceh Darussalam Telp. 0",
2976.,PR Agustina,"Jl. Imam Samailah, Selisun, Nunukan Selatan, Kabupaten Nunukan, Kalimantan Utara Telp. 085*********",11040
2977.,PR Agustina,"JL. PEMUDA NO 11, Sabilambo, Kolaka, Kabupaten Kolaka, Sulawesi Tenggara Telp. 082*********",
2978.,PR Agustina,"jalan ulin Gg.6 No.9 RT.24, Karang Anyar, Sungai Kunjang, Kota Samarinda, Kalimantan Timur Telp. 082*********",10710
2979.,PR Agustina,"jalan balohan, Balohan, Sukajaya, Kota Sabang, Nangroe Aceh Darussalam Telp. 087*********",10794
2980.,PR Agustina,"Jl. Cut Makmum Lr. C Gang Jambu No. 4	Beurawe, Beurawe, Kuta Alam, Kota Banda Aceh, Nangroe Aceh Darussalam Telp. 082*********",10710
2941.,PR Agustien Prasetyaningrum,Telp.,
2942.,PD Agustien Sendouw,"Jaga III, Kuwil, Kalawat, Kabupaten Minahasa Utara, Sulawesi Utara Telp. 085*********",10710
2943.,PR Agustimar,"Jl. Musi Lintas Timur, Desa/Kelurahan Sungai Lekop, Kec. Bintan Timur, Kab. Bintan, Sungai Lekop, Bintan Timur, Kabupaten Bintan, Kepulauan Riau Telp. 085*********",10799
2944.,PR Agustin Budi Widyawati,"KEBONSARI III NO.24 RT 003 RW 001, Kedungsari, Magelang Utara, Kota Magelang, Jawa Tengah Telp. 081********",10710
2945.,PR Agustin Buriko,"Desa Kele'i, Kelei, Pamona Timur, Kabupaten Poso, Sulawesi Tengah Telp. 082*********",10794
2946.,PR Agustin Kurniawati,"KLONTONG rt 07 rw 03, Jambewangi, Secang, Kabupaten Magelang, Jawa Tengah Telp. 085*********",13921
2947.,PR Agustin Lina Herawati. Amd,"Gandulan RT 01/RW02, Kaloran, Temanggung, Gandulan, Kaloran, Kabupaten Temanggung, Jawa Tengah Telp. 082*********",13134
2948.,PR Agustin Noraini,"Jl. Thamrin Gg Mawar I No 6. RT/RW:002/001, Klegen, Kartoharjo, Kota Madiun, Jawa Timur Telp. 081*********",10793
2949.,PR Agustin Noraini,Telp.,
2950.,PR Agustin Sili,"Desa setulang, Setulang, Malinau Selatan Hilir, Kabupaten Malinau, Kalimantan Utara Telp. 085**********",
2951.,PR Agustin Yustise Firdaus,"JL. OXYGEN 1 KOMP. MERANTI GRIYA OXYGEN BLOK C 2, Mentaos, Banjarbaru Utara, Kota Banjar Baru, Kalimantan Selatan Telp. 082*********",32903
2952.,PR Agustina,"Camba Utara, Baru, Banggae, Kabupaten Majene, Sulawesi Barat Telp. .",14120
2953.,PR Agustina,"KP. AIR NUSA LAUT, Air Nusa, Serasan Timur, Kabupaten Natuna, Kepulauan Riau Telp. 081*********",10794
2954.,PR Agustina,"KP.DURIAN PASAR LUBUK ALUNG, Lubuk Alung, Lubuk Alung, Kabupaten Padang Pariaman, Sumatera Barat Telp. 081*********",10794
2955.,PR Agustina,"dsn. teungoh, Desa/Kelurahan Pulot, Kec. Leupung, Kab. Aceh Besar, Provinsi Aceh, Pulot, Leupung, Kabupaten Aceh Besar, Nangroe Aceh Darussalam Telp. 082*********",10211
2956.,PR Agustina,"Pasar Kampung Baru, Ajakkang, Soppeng Riaja, Kabupaten Barru, Sulawesi Selatan Telp. 081*********",10710
2957.,PR Agustina,"Lingk. Lembang Dhua, Lembang, Banggae Timur, Kabupaten Majene, Sulawesi Barat Telp. .",10792
2958.,PR Agustina,"Jl. Haluoleo, Rante Angin, Rante Angin, Kabupaten Kolaka Utara, Sulawesi Tenggara Telp. 085*********",
2959.,PR Agustina,Telp.,
2960.,PR Agustina,Telp.,
2921.,PR Agusri,"JL. SYECH IBRAHIM NO.75,, Sinapa Piliang, Lubuk Sikarah, Kota Solok, Sumatera Barat Telp. 081*********",10723
2922.,PR Agusriah,"Lingk. Tamo Dhua, Baurung, Banggae Timur, Kabupaten Majene, Sulawesi Barat Telp. .",10792
2923.,PR Agussalim,"Balombong Selatan, Balombong, Pamboang, Kabupaten Majene, Sulawesi Barat Telp. .",10794
2924.,PR AGUSSALIM,"Paccelanga, Kel. Pallengu, Kec. Bangkala, Kab. Jeneponto, Pallengu, Bangkala, Kabupaten Jeneponto, Sulawesi Selatan Telp. 085*********",
2925.,PR Agussalim,"Jl. Gunung Merbabu, Bumi Ayu, Dumai Selatan, Kota Dumai, Riau Telp. 085*********",11052
2926.,PR Agussalim Sultan,"jl. panasa, Talaka, Marang, Kabupaten Pangkajene Dan Kepul, Sulawesi Selatan Telp. 085*********",13134
2927.,PR Agussalim.h.s,"Dusun Sanjaya, Nanga Tepuai, Hulu Gurung, Kabupaten Kapuas Hulu, Kalimantan Barat Telp. 0",10750
2928.,PT Agusta Central Elektrindo,"Jalan Raya Pondok Randu RW 02, Duri Kosambi, Cengkareng, Kota Jakarta Barat, DKI Jakarta Telp. -",27330
2929.,PT Agusta Central Elektrindo,Telp.,
2930.,PR Agusta Marsalina Ndolu,"TUATUKA, RT 013/ RW 007, Tuatuka, Kupang Timur, Kabupaten Kupang, Nusa Tenggara Timur Telp. 082*********",10794
2931.,PR Agusta Prasetio Noviardi,"Jl Murai No 95, Desa/Kelurahan Taman Bunga,, Taman Bunga, Gerunggang, Kota Pangkal Pinang, Kepulauan Bangka Belitung Telp. 628**********",10794
2932.,PR Agustan Ranreng,"Baru Doping, Doping, Penrang, Kabupaten Wajo, Sulawesi Selatan Telp. 082*********",
2933.,PR Agustanto,"Jalan Rajawali, Sungaidanau, Satui, Kabupaten Tanah Bumbu, Kalimantan Selatan Telp. 082*********",10392
2934.,PR Agusthinus Frans,"ABUSUR, Abusur, Kisar Selatan, Kabupaten Maluku Barat Daya, Maluku Telp. 082*********",
2935.,PR Agusthinus Simon Laimeheriwa,"Kampung Babar, Tiakur, Moa, Kabupaten Maluku Barat Daya, Maluku Telp. 082*********",95110
2936.,PR Agusti Irri Susanti,"Dusun Harapan Jaya RT.003, Lalang Jaya, Manggar, Kabupaten Belitung Timur, Kepulauan Bangka Belitung Telp. -",10792
2937.,PR Agustia,"dusun tarawe beru-beru, Beru-Beru, Kalukku, Kabupaten Mamuju, Sulawesi Barat Telp. +6285242514956",10794
2938.,PR Agustia Eka Putri,"Desa Tegalsari Kec. Kandeman Kab. Batang, Tegalsari, Kandeman, Kabupaten Batang, Jawa Tengah Telp. -",
2939.,PR Agustian,"Jl.jendral Ahmad Yani baran 1, Baran Timur, Meral, Kabupaten Karimun, Kepulauan Riau Telp. 085*********",22220
2940.,PR Agustiar,"GANDING SARI . Jl. Kota Piring Gg. Putri Riau VI No. 1, Melayu Kota Piring, Tanjung Pinang Timur, Kota Tanjung Pinang, Kepulauan Riau Telp. 081*********",10794
